Date,Bitcoin,Ethereum,Fossil_Fuel
6/13/2022,22487.38867,1204.582764,120.9300003
6/14/2022,22206.79297,1211.662842,118.9300003
6/15/2022,22572.83984,1233.206421,115.3099976
6/16/2022,20381.65039,1067.730713,117.5899963
6/17/2022,20471.48242,1086.519287,109.5599976
6/21/2022,20710.59766,1124.824585,110.6500015
6/22/2022,19987.0293,1051.421875,106.1900024
6/23/2022,21085.87695,1143.386719,104.2699966
6/24/2022,21231.65625,1226.844727,107.6200027
6/27/2022,20735.47852,1193.680664,109.5699997
6/28/2022,20280.63477,1144.579224,111.7600021
6/29/2022,20104.02344,1098.943848,109.7799988
6/30/2022,19784.72656,1067.298828,105.7600021
7/1/2022,19269.36719,1059.767334,108.4300003
7/5/2022,20190.11523,1134.541016,99.5
7/6/2022,20548.24609,1186.973999,98.52999878
7/7/2022,21637.58789,1237.593384,102.7300034
7/8/2022,21731.11719,1222.506226,104.7900009
7/11/2022,19970.55664,1097.236572,104.0899963
7/12/2022,19323.91406,1038.19165,95.83999634
7/13/2022,20212.07422,1113.587158,96.30000305
7/14/2022,20569.91992,1191.526245,95.77999878
7/15/2022,20836.32813,1233.12915,97.58999634
7/18/2022,22485.68945,1578.717896,102.5999985
7/19/2022,23389.43359,1542.97522,104.2200012
7/20/2022,23231.73242,1520.200684,102.2600021
7/21/2022,23164.62891,1576.749512,96.34999847
7/22/2022,22714.97852,1537.405151,94.69999695
7/25/2022,21361.70117,1445.383423,96.69999695
7/26/2022,21239.75391,1441.806763,94.98000336
7/27/2022,22930.54883,1636.232666,97.26000214
7/28/2022,23843.88672,1725.46814,96.41999817
7/29/2022,23804.63281,1727.406982,98.62000275
8/1/2022,23314.19922,1635.195801,93.88999939
8/2/2022,22978.11719,1632.945435,94.41999817
8/3/2022,22846.50781,1618.874512,90.66000366
8/4/2022,22630.95703,1608.205811,88.54000092
8/5/2022,23289.31445,1732.254639,89.01000214
8/8/2022,23809.48633,1775.516113,90.76000214
8/9/2022,23164.31836,1703.025024,90.5
8/10/2022,23947.64258,1851.742676,91.93000031
8/11/2022,23957.5293,1881.224121,94.33999634
8/12/2022,24402.81836,1957.24646,92.08999634
8/15/2022,24136.97266,1904.228149,89.41000366
8/16/2022,23883.29102,1878.139404,86.52999878
8/17/2022,23335.99805,1832.999634,88.11000061
8/18/2022,23212.73828,1847.007813,90.5
8/19/2022,20877.55273,1612.987305,90.76999664
8/22/2022,21398.9082,1622.505859,90.23000336
8/23/2022,21528.08789,1662.769897,93.73999786
8/24/2022,21395.01953,1657.059204,94.88999939
8/25/2022,21600.9043,1696.457031,92.51999664
